evaporation_rate,ants,steps,time_s,success,food_removed,food_collected,total_food,removed_pct,returned_pct,run
0.841421,70,901,22.102308988571167,True,75,57,100,75.0,57.0,6
0.841421,70,788,19.19656491279602,True,75,69,100,75.0,69.0,7
0.841421,70,1096,23.112667560577393,True,75,66,100,75.0,66.0,8
0.841421,70,999,17.202561855316162,True,75,57,100,75.0,57.0,9
0.841421,70,1304,23.986446380615234,True,75,67,100,75.0,67.0,10
0.867684,70,1177,19.974347352981567,True,75,65,100,75.0,65.0,1
0.867684,70,1058,18.099510431289673,True,75,63,100,75.0,63.0,2
0.867684,70,1005,17.077650785446167,True,75,70,100,75.0,70.0,3
0.867684,70,836,14.431644439697266,True,75,63,100,75.0,63.0,4
0.867684,70,928,15.837814569473267,True,75,67,100,75.0,67.0,5
0.867684,70,916,15.790868043899536,True,75,71,100,75.0,71.0,6
0.867684,70,1049,17.73305869102478,True,75,66,100,75.0,66.0,7
0.867684,70,981,16.70860266685486,True,75,67,100,75.0,67.0,8
0.867684,70,968,17.52663803100586,True,75,63,100,75.0,63.0,9
0.867684,70,924,15.77935004234314,True,75,63,100,75.0,63.0,10
0.893947,70,860,16.632832527160645,True,76,62,100,76.0,62.0,1
0.893947,70,825,15.601020336151123,True,75,59,100,75.0,59.0,2
0.893947,70,655,12.237462282180786,True,75,63,100,75.0,63.0,3
0.893947,70,1048,20.022762537002563,True,75,70,100,75.0,70.0,4
0.893947,70,811,14.7948739528656,True,75,65,100,75.0,65.0,5
0.893947,70,1082,18.979349851608276,True,75,66,100,75.0,66.0,6
0.893947,70,993,17.040437698364258,True,75,67,100,75.0,67.0,7
0.893947,70,757,13.52358865737915,True,75,64,100,75.0,64.0,8
0.893947,70,873,15.25709843635559,True,75,69,100,75.0,69.0,9
0.893947,70,1076,18.691553354263306,True,75,66,100,75.0,66.0,10
0.920211,70,1163,19.96335506439209,True,75,68,100,75.0,68.0,1
0.920211,70,1089,18.974543809890747,True,75,65,100,75.0,65.0,2
0.920211,70,740,13.215354204177856,True,75,59,100,75.0,59.0,3
0.920211,70,875,15.53356409072876,True,75,65,100,75.0,65.0,4
0.920211,70,833,14.576069831848145,True,75,66,100,75.0,66.0,5
0.920211,70,764,13.820706367492676,True,76,64,100,76.0,64.0,6
